@relation 'generators.RandomTreeGenerator -u 0'

@attribute nominal1 {value1,value2,value3,value4,value5}
@attribute nominal2 {value1,value2,value3,value4,value5}
@attribute nominal3 {value1,value2,value3,value4,value5}
@attribute nominal4 {value1,value2,value3,value4,value5}
@attribute nominal5 {value1,value2,value3,value4,value5}
@attribute class {0,1}

@data
value4,value2,value2,value4,value2,1
value2,value4,value4,value2,value4,0
value4,value5,value5,value5,value5,1
value3,value3,value4,value5,value5,0
value5,value2,value3,value1,value5,1
value1,value3,value4,value4,value1,1
value5,value2,value5,value4,value3,1
value4,value3,value4,value1,value5,1
value5,value1,value3,value5,value5,1
value1,value4,value3,value2,value3,1
value3,value4,value1,value1,value5,0
value5,value1,value2,value1,value3,1
value3,value1,value3,value3,value2,0
value2,value2,value4,value5,value5,0
value2,value5,value4,value3,value4,1
value3,value4,value5,value3,value5,1
value5,value1,value5,value5,value4,1
value5,value2,value4,value4,value5,0
value1,value2,value4,value4,value5,0
value4,value5,value3,value1,value1,1
value1,value4,value5,value2,value4,0
value2,value5,value5,value4,value4,0
value2,value1,value5,value2,value5,1
value3,value4,value4,value5,value5,0
value5,value1,value1,value1,value4,1
value4,value5,value4,value4,value4,0
value3,value4,value4,value5,value3,0
value4,value2,value2,value1,value1,1
value1,value5,value3,value3,value5,1
value2,value3,value2,value5,value3,0
value1,value3,value1,value5,value2,1
value5,value1,value1,value2,value1,0
value3,value2,value2,value5,value1,0
value4,value4,value4,value2,value1,1
value5,value5,value1,value1,value4,0
value4,value4,value2,value5,value4,0
value5,value4,value3,value3,value1,1
value5,value3,value5,value4,value1,0
value3,value2,value3,value3,value2,1
value2,value1,value3,value4,value1,0
value5,value5,value2,value3,value2,0
value1,value5,value5,value4,value3,1
value2,value5,value1,value2,value1,0
value5,value5,value5,value4,value2,0
value5,value5,value1,value5,value4,1
value1,value1,value4,value4,value1,1
value5,value3,value4,value2,value2,1
value5,value5,value1,value2,value4,1
value5,value2,value4,value3,value1,1
value4,value3,value3,value5,value2,1
value3,value5,value3,value1,value5,0
value2,value2,value1,value4,value2,0
value4,value4,value3,value4,value2,0
value1,value4,value5,value2,value5,1
value5,value3,value5,value2,value1,0
value2,value4,value1,value2,value3,0
value4,value1,value4,value2,value4,1
value2,value2,value4,value3,value1,0
value1,value5,value5,value2,value1,0
value3,value4,value5,value1,value3,0
value2,value4,value1,value5,value4,0
value4,value2,value1,value1,value3,0
value5,value2,value3,value2,value4,1
value3,value1,value2,value1,value5,1
value4,value5,value4,value4,value3,1
value3,value5,value4,value3,value4,1
value5,value5,value3,value2,value1,1
value1,value1,value5,value4,value3,0
value1,value2,value4,value4,value3,1
value2,value2,value5,value5,value2,1
value4,value5,value3,value1,value1,1
value1,value2,value5,value2,value3,1
value5,value4,value4,value5,value3,1
value1,value3,value4,value1,value5,0
value4,value2,value3,value2,value1,0
value4,value1,value4,value5,value4,1
value2,value2,value5,value4,value2,1
value2,value1,value5,value3,value1,0
value4,value2,value2,value5,value5,1
value1,value5,value3,value4,value1,1
value4,value4,value1,value2,value1,1
value5,value1,value2,value1,value1,0
value1,value1,value3,value5,value1,0
value2,value4,value4,value1,value4,1
value5,value5,value4,value1,value2,0
value4,value5,value3,value1,value4,0
value3,value2,value2,value4,value3,0
value1,value3,value2,value1,value3,0
value3,value1,value5,value4,value5,1
value5,value3,value5,value3,value2,0
value5,value4,value1,value5,value4,1
value5,value4,value5,value2,value2,1
value2,value2,value1,value4,value4,1
value2,value4,value4,value1,value1,0
value3,value5,value4,value4,value4,0
value4,value3,value2,value5,value1,1
value5,value5,value4,value2,value5,1
value3,value3,value5,value5,value4,0
value3,value4,value5,value5,value1,0
value5,value5,value5,value5,value4,0
value1,value5,value1,value3,value4,0
value1,value1,value5,value5,value5,0
value5,value2,value4,value2,value5,1
value3,value4,value2,value3,value5,0
value2,value5,value3,value2,value3,1
value5,value3,value2,value2,value1,0
value1,value3,value5,value2,value1,1
value1,value3,value2,value1,value2,0
value4,value3,value3,value3,value1,0
value2,value4,value1,value3,value2,1
value2,value1,value3,value4,value2,1
value1,value2,value2,value1,value3,1
value2,value4,value2,value3,value3,1
value5,value4,value1,value2,value5,1
value4,value5,value4,value2,value4,0
value3,value3,value2,value4,value4,0
value3,value4,value4,value5,value2,0
value5,value5,value3,value4,value3,0
value3,value4,value3,value2,value2,1
value4,value5,value2,value5,value3,1
value2,value5,value2,value3,value4,0
value3,value4,value2,value3,value2,0
value3,value1,value2,value2,value2,0
value5,value1,value4,value4,value4,0
value3,value3,value4,value2,value3,0
value5,value2,value5,value3,value4,1
value5,value3,value5,value1,value5,0
value3,value1,value4,value2,value4,0
value2,value4,value1,value5,value4,0
value4,value4,value5,value3,value3,0
value3,value1,value4,value3,value3,0
value1,value5,value5,value2,value3,1
value5,value5,value2,value5,value1,0
value1,value5,value1,value1,value2,1
value4,value4,value4,value2,value2,1
value2,value5,value5,value3,value5,1
value1,value1,value4,value3,value2,0
value3,value1,value1,value5,value5,1
value2,value3,value1,value5,value1,0
value3,value2,value3,value2,value5,0
value5,value4,value4,value5,value3,1
value3,value1,value5,value1,value1,1
value1,value4,value2,value1,value4,0
value3,value2,value5,value5,value5,1
value3,value1,value2,value3,value2,0
value3,value2,value4,value1,value2,0
value5,value2,value1,value3,value1,1
value2,value3,value1,value4,value4,0
value4,value1,value4,value5,value3,1
value3,value2,value5,value2,value4,0
value4,value1,value5,value2,value5,1
value4,value5,value3,value5,value1,1
value1,value2,value5,value3,value5,1
value2,value4,value3,value4,value4,1
value2,value1,value2,value5,value2,1
value2,value1,value4,value4,value3,1
value4,value4,value3,value3,value1,1
value3,value5,value5,value3,value1,1
value5,value4,value4,value3,value4,1
value4,value5,value5,value3,value1,1
value5,value5,value5,value3,value5,0
value1,value1,value3,value4,value1,1
value1,value3,value1,value1,value1,0
value2,value3,value1,value3,value1,1
value2,value1,value5,value1,value4,1
value3,value2,value3,value4,value5,0
value3,value1,value4,value1,value5,0
value1,value1,value5,value4,value4,0
value5,value2,value2,value1,value5,0
value1,value5,value5,value2,value4,1
value5,value2,value2,value5,value2,0
value1,value3,value2,value2,value1,1
value3,value4,value2,value3,value4,1
value4,value3,value4,value3,value3,0
value2,value2,value1,value4,value1,1
value3,value4,value1,value3,value3,1
value1,value3,value3,value2,value1,0
value1,value4,value1,value1,value3,1
value4,value2,value1,value4,value3,0
value4,value5,value3,value3,value1,0
value5,value1,value3,value3,value4,1
value5,value2,value3,value3,value3,1
value2,value4,value2,value2,value3,1
value4,value2,value4,value5,value5,1
value3,value5,value1,value5,value1,0
value3,value3,value5,value4,value3,0
value1,value3,value5,value4,value2,1
value3,value1,value2,value4,value2,1
value5,value3,value5,value5,value1,0
value4,value2,value5,value5,value5,1
value3,value2,value3,value2,value2,1
value2,value3,value3,value3,value3,1
value3,value1,value4,value4,value2,0
value5,value4,value1,value2,value3,1
value4,value4,value4,value3,value5,1
value4,value2,value4,value1,value4,1
value3,value3,value4,value1,value3,0
value4,value3,value3,value1,value4,0
value2,value3,value5,value1,value5,1
value4,value4,value3,value5,value4,0
value5,value5,value1,value3,value4,1
value4,value3,value2,value1,value2,1
value5,value3,value4,value4,value5,1
value3,value3,value1,value1,value4,0
value1,value5,value3,value1,value5,1
value3,value2,value2,value2,value1,0
value2,value1,value5,value4,value1,0
value1,value4,value3,value1,value2,1
value3,value1,value1,value2,value1,0
value4,value2,value3,value3,value3,1
value2,value5,value3,value2,value3,1
value1,value4,value2,value3,value4,0
value5,value2,value2,value5,value3,0
value2,value2,value4,value2,value1,0
value4,value2,value2,value2,value3,0
value2,value2,value3,value2,value1,1
value3,value1,value4,value5,value5,0
value4,value4,value2,value1,value4,0
value3,value4,value4,value2,value3,1
value2,value4,value2,value5,value5,1
value3,value1,value2,value3,value1,1
value5,value1,value1,value5,value1,1
value4,value1,value2,value5,value1,1
value5,value5,value1,value4,value4,0
value3,value2,value5,value1,value3,0
value1,value2,value4,value5,value4,1
value2,value5,value1,value1,value5,0
value1,value5,value1,value3,value2,0
value5,value2,value3,value3,value2,1
value2,value5,value5,value1,value5,1
value3,value5,value3,value3,value2,0
value5,value3,value3,value2,value2,1
value2,value5,value4,value4,value1,1
value5,value2,value4,value5,value5,1
value4,value1,value1,value5,value4,0
value5,value4,value1,value2,value5,1
value1,value4,value5,value3,value5,0
value2,value4,value2,value4,value2,0
value5,value3,value5,value2,value1,0
value3,value5,value1,value4,value4,0
value4,value4,value3,value4,value5,0
value1,value3,value4,value1,value4,1
value5,value4,value3,value1,value1,0
value3,value1,value5,value5,value3,1
value3,value1,value5,value4,value1,0
value1,value2,value2,value2,value3,1
value2,value1,value3,value5,value1,1
value3,value4,value2,value2,value2,1
value1,value1,value5,value5,value4,0
value2,value4,value4,value5,value5,1
value2,value5,value4,value2,value3,1
value3,value3,value1,value5,value5,1
value3,value5,value5,value4,value3,0
value5,value2,value5,value3,value2,1
value2,value1,value3,value3,value5,1
value2,value3,value3,value1,value4,0
value2,value3,value3,value1,value4,0
value5,value4,value3,value4,value1,0
value2,value1,value3,value2,value2,1
value2,value3,value3,value5,value2,1
value1,value1,value1,value1,value2,0
value3,value1,value4,value2,value2,1
value4,value3,value5,value3,value4,0
value4,value1,value1,value3,value5,1
value4,value2,value4,value1,value5,1
value4,value2,value5,value4,value4,0
value5,value3,value3,value1,value4,0
value1,value1,value2,value1,value5,1
value2,value3,value2,value5,value3,0
value5,value4,value3,value3,value2,0
value4,value2,value3,value5,value3,1
value3,value4,value3,value2,value5,1
value1,value1,value2,value1,value2,1
value3,value2,value4,value5,value2,1
value3,value5,value5,value1,value4,1
value2,value5,value4,value1,value3,0
value4,value5,value5,value4,value1,0
value4,value2,value1,value4,value2,1
value3,value5,value5,value3,value1,1
value3,value5,value5,value3,value3,0
value1,value1,value5,value5,value5,0
value5,value5,value2,value2,value1,0
value4,value2,value3,value3,value1,1
value3,value3,value5,value1,value3,1
value4,value5,value3,value2,value1,1
value1,value5,value4,value5,value2,1
value3,value5,value3,value5,value5,1
value1,value4,value5,value2,value4,0
value1,value4,value4,value2,value3,0
value3,value3,value4,value1,value2,0
value4,value1,value5,value5,value2,0
value4,value4,value2,value4,value4,0
value2,value5,value4,value3,value1,0
value5,value2,value3,value2,value3,1
value4,value5,value1,value5,value5,1
value5,value3,value3,value5,value3,0
value3,value2,value5,value1,value3,0
value1,value5,value1,value4,value4,0
value2,value2,value1,value1,value5,0
value5,value1,value4,value4,value4,0
value4,value5,value3,value4,value3,0
value4,value3,value3,value3,value4,1
value5,value5,value2,value5,value1,0
value3,value5,value1,value3,value1,1
value3,value1,value2,value2,value1,1
value3,value1,value3,value1,value2,1
value2,value3,value4,value3,value2,1
value2,value2,value3,value5,value4,0
value4,value5,value5,value4,value1,0
value3,value5,value3,value4,value2,1
value3,value4,value4,value4,value2,1
value4,value5,value2,value2,value4,0
value3,value4,value2,value1,value3,0
value2,value2,value5,value1,value3,1
value4,value3,value3,value3,value5,1
value2,value5,value1,value1,value4,0
value2,value5,value1,value2,value5,1
value3,value4,value2,value3,value2,0
value2,value3,value3,value2,value1,1
value3,value3,value2,value5,value3,1
value1,value1,value5,value4,value4,0
value4,value5,value5,value3,value4,1
value1,value1,value2,value3,value4,0
value3,value2,value1,value2,value1,1
value2,value4,value4,value4,value4,1
value3,value3,value5,value2,value1,0
value5,value5,value2,value5,value5,0
value5,value2,value1,value1,value1,1
value4,value3,value4,value5,value2,0
value5,value2,value2,value2,value5,1
value3,value1,value1,value4,value1,1
value5,value2,value1,value1,value2,0
value2,value1,value5,value2,value1,0
value4,value2,value2,value1,value2,1
value2,value3,value2,value4,value1,1
value3,value2,value3,value4,value1,1
value5,value5,value1,value2,value5,1
value5,value4,value4,value4,value3,0
value3,value4,value3,value2,value1,1
value1,value4,value1,value5,value5,0
value4,value2,value1,value1,value4,1
value2,value4,value4,value4,value1,1
value4,value5,value2,value1,value3,0
value2,value3,value2,value2,value4,0
value5,value5,value5,value1,value4,1
value1,value1,value4,value3,value1,0
value1,value2,value5,value4,value4,0
value2,value3,value5,value1,value5,1
value1,value3,value5,value4,value1,0
value3,value3,value3,value3,value5,1
value4,value3,value2,value3,value3,1
value4,value5,value1,value2,value5,1
value5,value1,value2,value5,value2,0
value1,value2,value5,value5,value3,0
value3,value1,value4,value3,value2,0
value5,value2,value3,value2,value5,1
value1,value4,value4,value1,value4,1
value2,value3,value4,value5,value4,0
value4,value3,value3,value5,value2,1
value4,value5,value5,value1,value3,0
value4,value2,value2,value4,value5,1
value4,value1,value4,value5,value2,1
value4,value5,value5,value1,value1,0
value1,value3,value5,value4,value1,0
value4,value5,value4,value4,value3,1
value5,value5,value5,value3,value3,0
value5,value4,value1,value2,value4,0
value1,value3,value3,value1,value4,0
value5,value2,value1,value4,value1,1
value1,value3,value2,value5,value4,1
value3,value1,value4,value2,value2,1
value3,value3,value3,value4,value3,0
value5,value3,value2,value3,value4,1
value5,value5,value5,value5,value1,1
value2,value4,value3,value1,value4,1
value4,value3,value2,value3,value4,0
value1,value5,value4,value2,value5,1
value2,value2,value2,value2,value1,1
value5,value5,value4,value1,value3,0
value2,value2,value3,value1,value3,1
value2,value3,value3,value1,value1,1
value4,value1,value1,value2,value4,1
value4,value4,value1,value4,value3,1
value3,value5,value1,value2,value2,1
value2,value1,value1,value2,value4,0
value3,value2,value5,value2,value1,0
value2,value2,value5,value2,value5,1
value1,value3,value5,value4,value1,0
value4,value1,value3,value1,value1,1
value5,value5,value4,value5,value3,0
value5,value1,value3,value5,value5,1
value5,value4,value4,value4,value4,1
value1,value2,value1,value5,value5,0
value3,value1,value2,value1,value2,1
value5,value2,value5,value1,value2,1
value1,value3,value3,value4,value5,1
value5,value1,value2,value4,value5,1
value5,value4,value1,value1,value4,1
value3,value1,value4,value5,value5,0
value2,value2,value2,value1,value3,0
value3,value4,value5,value5,value1,0
value4,value2,value4,value1,value2,1
value2,value1,value1,value3,value2,1
value3,value1,value5,value5,value2,0
value5,value5,value4,value5,value1,0
value3,value5,value2,value2,value5,1
value2,value5,value1,value4,value4,1
value4,value4,value5,value2,value1,0
value5,value3,value4,value5,value5,1
value5,value2,value4,value3,value3,1
value3,value5,value3,value2,value4,0
value3,value1,value3,value2,value3,1
value5,value3,value3,value2,value5,1
value1,value5,value5,value4,value5,0
value3,value5,value3,value4,value2,1
value5,value3,value2,value5,value2,0
value3,value4,value3,value2,value5,1
value2,value4,value2,value1,value3,0
value5,value5,value4,value5,value4,1
value2,value4,value5,value2,value5,1
value2,value1,value3,value2,value5,1
value1,value3,value1,value3,value2,1
value5,value4,value4,value5,value3,1
value4,value5,value1,value4,value2,1
value5,value5,value4,value3,value3,0
value1,value5,value3,value3,value2,1
value2,value3,value3,value5,value4,0
value4,value3,value1,value5,value4,0
value5,value1,value3,value2,value1,1
value2,value1,value1,value2,value3,0
value5,value3,value1,value4,value5,1
value3,value3,value2,value1,value5,1
value3,value1,value3,value1,value3,1
value1,value1,value1,value5,value2,1
value4,value2,value4,value5,value2,1
value5,value2,value2,value4,value1,0
value5,value4,value1,value4,value2,1
value5,value3,value2,value4,value3,1
value1,value1,value1,value3,value5,1
value3,value2,value5,value2,value2,1
value3,value4,value2,value5,value2,1
value5,value4,value4,value3,value1,1
value3,value2,value5,value3,value2,0
value3,value3,value4,value2,value3,0
value1,value4,value2,value1,value5,0
value1,value2,value5,value5,value2,1
value5,value4,value4,value4,value5,0
value2,value4,value1,value4,value3,1
value1,value4,value4,value1,value1,0
value5,value5,value2,value4,value3,0
value4,value2,value4,value3,value4,0
value2,value1,value5,value1,value1,1
value2,value3,value5,value2,value2,1
value1,value3,value5,value5,value5,1
value4,value4,value1,value3,value4,1
value4,value3,value2,value1,value4,0
value3,value1,value5,value2,value1,1
value5,value2,value3,value2,value5,1
value5,value5,value4,value3,value5,1
value4,value1,value4,value3,value2,0
value3,value4,value2,value2,value3,0
value4,value5,value1,value2,value3,1
value2,value4,value4,value4,value4,1
value4,value1,value5,value5,value2,0
value2,value1,value2,value2,value4,1
value5,value3,value4,value5,value3,0
value5,value5,value4,value2,value3,0
value4,value5,value5,value4,value2,0
value5,value3,value1,value2,value4,1
value5,value2,value2,value2,value5,1
value5,value1,value1,value4,value3,1
value1,value4,value1,value1,value4,0
value1,value5,value5,value1,value5,0
value2,value1,value5,value2,value4,1
value1,value3,value5,value4,value5,1
value4,value3,value2,value4,value2,0
value1,value1,value2,value1,value3,1
value5,value5,value5,value1,value2,0
value2,value2,value2,value5,value3,1
value1,value3,value2,value2,value3,0
value4,value1,value5,value2,value5,1
value2,value5,value5,value4,value1,1
value3,value5,value1,value5,value1,0
value3,value2,value1,value4,value1,0
value4,value3,value1,value2,value2,1
value5,value2,value5,value3,value2,1
value4,value3,value5,value3,value4,0
value4,value4,value2,value5,value4,0
value3,value2,value4,value1,value3,1
value1,value2,value3,value5,value2,1
value3,value3,value5,value4,value2,1
value3,value1,value1,value3,value4,1
value5,value5,value5,value2,value3,1
value2,value3,value4,value3,value3,1
value2,value1,value2,value3,value2,0
value1,value5,value1,value1,value5,0
value1,value5,value4,value2,value2,1
value5,value4,value4,value3,value1,1
value2,value1,value4,value5,value2,0
value2,value4,value1,value1,value3,0
value3,value5,value4,value4,value1,0
value2,value1,value1,value4,value2,1
value3,value2,value5,value1,value4,0
value2,value5,value5,value5,value1,1
value3,value4,value1,value3,value3,1
value2,value1,value4,value1,value4,1
value5,value4,value4,value2,value2,1
value3,value1,value1,value1,value1,1
value4,value3,value1,value4,value5,1
value2,value4,value4,value4,value3,1
value2,value2,value3,value2,value2,1
value2,value2,value3,value3,value2,1
value4,value1,value3,value3,value4,1
value4,value3,value4,value5,value2,0
value2,value5,value1,value1,value5,0
value5,value4,value4,value3,value1,1
value3,value4,value3,value3,value5,1
value4,value2,value5,value4,value5,1
value4,value5,value4,value1,value3,0
value3,value3,value3,value1,value3,0
value1,value3,value5,value2,value2,0
value4,value1,value3,value2,value2,1
value5,value1,value4,value2,value1,0
value2,value1,value2,value4,value5,0
value4,value2,value1,value5,value3,1
value5,value1,value5,value2,value5,0
value1,value1,value4,value2,value3,0
value1,value1,value4,value3,value2,0
value1,value1,value5,value2,value2,1
value4,value1,value3,value2,value1,1
value1,value4,value2,value3,value4,0
value1,value3,value1,value4,value2,0
value3,value1,value4,value2,value2,1
value5,value4,value4,value3,value3,0
value4,value5,value4,value3,value2,1
value2,value4,value1,value3,value4,1
value4,value4,value4,value3,value2,0
value2,value1,value3,value1,value4,1
value1,value2,value3,value5,value2,1
value2,value1,value5,value5,value4,0
value1,value1,value3,value5,value1,0
value5,value3,value1,value3,value2,0
value4,value4,value3,value3,value4,0
value4,value4,value2,value2,value4,0
value3,value2,value5,value1,value1,0
value1,value2,value1,value2,value4,0
value4,value1,value2,value3,value2,0
value4,value4,value3,value4,value1,0
value1,value2,value4,value3,value2,1
value3,value2,value3,value2,value3,1
value3,value2,value4,value1,value5,0
value1,value5,value4,value3,value3,1
value3,value5,value1,value4,value2,0
value3,value1,value4,value4,value2,0
value3,value2,value4,value1,value4,1
value2,value4,value3,value2,value4,0
value4,value3,value5,value2,value1,1
value1,value4,value4,value1,value2,0
value1,value5,value2,value5,value2,1
value2,value1,value2,value3,value5,1
value1,value4,value3,value5,value3,1
value3,value4,value3,value5,value3,0
value1,value2,value1,value2,value3,0
value3,value1,value1,value3,value1,1
value5,value4,value1,value1,value3,1
value1,value5,value4,value5,value5,1
value1,value3,value1,value3,value2,1
value5,value2,value1,value5,value1,1
value3,value3,value3,value4,value2,1
value2,value5,value4,value3,value4,1
value1,value4,value2,value5,value2,0
value2,value1,value1,value3,value5,1
value2,value5,value1,value5,value1,0
value3,value5,value2,value1,value5,0
value4,value5,value1,value2,value3,1
value2,value4,value2,value3,value1,1
value5,value1,value1,value1,value1,0
value2,value5,value3,value4,value5,0
value2,value2,value1,value3,value3,1
value5,value1,value3,value3,value5,0
value5,value1,value2,value5,value5,1
value1,value2,value5,value3,value5,1
value2,value4,value4,value2,value3,0
value1,value3,value5,value2,value2,0
value1,value5,value5,value1,value2,1
value3,value2,value1,value2,value5,0
value5,value2,value1,value5,value3,0
value2,value1,value3,value3,value2,1
value3,value2,value5,value2,value5,0
value3,value5,value4,value4,value1,0
value4,value1,value4,value4,value4,1
value2,value4,value1,value5,value5,1
value2,value1,value5,value4,value1,0
value2,value4,value5,value2,value3,0
value3,value2,value1,value4,value5,1
value4,value3,value2,value2,value2,0
value4,value4,value5,value2,value1,0
value5,value1,value2,value2,value2,1
value5,value2,value4,value5,value2,1
value3,value1,value1,value5,value4,1
value4,value2,value2,value4,value3,0
value3,value5,value1,value1,value3,1
value4,value3,value2,value2,value4,0
value3,value1,value1,value1,value3,0
value4,value2,value4,value3,value1,1
value1,value4,value4,value1,value3,0
value5,value5,value1,value2,value3,0
value3,value3,value2,value3,value2,1
value3,value5,value4,value1,value3,0
value3,value1,value5,value2,value4,1
value4,value3,value4,value1,value4,1
value3,value5,value5,value1,value2,1
value3,value5,value3,value4,value1,0
value3,value5,value1,value5,value5,1
value1,value1,value1,value5,value1,1
value2,value3,value2,value5,value3,0
value5,value5,value3,value2,value3,1
value1,value4,value1,value1,value5,0
value2,value5,value2,value1,value1,0
value3,value3,value5,value2,value1,0
value4,value2,value2,value5,value1,0
value3,value5,value2,value5,value1,1
value4,value4,value4,value5,value4,0
value4,value2,value3,value2,value3,1
value3,value1,value2,value4,value2,1
value1,value3,value5,value4,value5,1
value3,value1,value5,value4,value5,1
value1,value2,value4,value5,value1,1
value2,value1,value4,value4,value3,1
value4,value2,value1,value5,value3,1
value2,value2,value2,value3,value3,1
value1,value2,value1,value5,value2,0
value2,value4,value2,value4,value4,0
value3,value3,value4,value4,value1,1
value3,value5,value4,value3,value3,0
value5,value5,value5,value4,value1,0
value3,value2,value1,value1,value4,1
value2,value4,value3,value5,value5,1
value3,value5,value3,value4,value3,0
value2,value1,value2,value3,value1,1
value5,value3,value2,value5,value1,0
value3,value5,value3,value3,value2,0
value3,value1,value4,value5,value4,0
value5,value2,value1,value1,value2,0
value4,value4,value4,value3,value5,1
value5,value5,value4,value3,value2,0
value2,value3,value5,value5,value4,0
value4,value1,value4,value3,value2,0
value5,value1,value3,value3,value3,0
value4,value3,value5,value5,value4,0
value1,value3,value5,value5,value3,1
value3,value1,value5,value1,value2,0
value1,value4,value2,value5,value1,1
value5,value5,value2,value4,value4,1
value3,value5,value2,value3,value4,0
value3,value2,value4,value2,value3,0
value3,value3,value1,value3,value4,0
value5,value3,value1,value4,value4,0
value5,value1,value1,value5,value5,0
value1,value3,value1,value2,value4,0
value3,value3,value5,value5,value3,0
value3,value4,value2,value3,value3,1
value1,value4,value5,value2,value2,1
value3,value4,value3,value5,value1,1
value5,value2,value5,value3,value2,1
value4,value4,value5,value1,value5,1
value3,value2,value4,value1,value2,0
value5,value4,value2,value1,value3,0
value3,value3,value3,value4,value5,0
value5,value2,value4,value4,value2,0
value3,value5,value1,value1,value1,1
value2,value4,value4,value2,value5,1
value5,value5,value1,value3,value2,0
value4,value4,value2,value5,value3,1
value2,value1,value5,value1,value3,1
value5,value2,value1,value1,value4,0
value5,value5,value4,value2,value3,0
value5,value5,value2,value4,value1,1
value5,value5,value2,value3,value2,0
value2,value3,value5,value5,value2,1
value5,value4,value1,value3,value4,0
value1,value5,value3,value1,value4,1
value5,value1,value5,value5,value2,1
value4,value5,value1,value3,value5,1
value2,value2,value4,value3,value4,1
value5,value4,value2,value1,value4,1
value4,value2,value5,value5,value1,0
value4,value3,value4,value2,value4,1
value3,value2,value1,value4,value4,0
value4,value4,value5,value5,value3,1
value1,value5,value5,value5,value5,1
value1,value5,value3,value4,value2,0
value1,value2,value2,value5,value3,1
value5,value3,value2,value1,value3,1
value5,value5,value4,value5,value1,0
value3,value3,value2,value4,value4,0
value1,value5,value2,value4,value1,1
value2,value1,value3,value5,value2,0
value1,value4,value1,value5,value4,0
value2,value2,value3,value3,value4,1
value3,value3,value3,value5,value4,1
value5,value5,value2,value3,value3,0
value4,value1,value2,value2,value3,1
value4,value1,value3,value1,value2,0
value5,value1,value5,value5,value5,1
value4,value5,value1,value3,value1,0
value2,value1,value2,value2,value3,0
value2,value2,value1,value2,value5,1
value4,value3,value1,value3,value3,1
value3,value3,value3,value3,value4,0
value4,value4,value1,value4,value3,1
value4,value2,value4,value1,value1,1
value4,value5,value1,value2,value1,1
value4,value3,value4,value3,value2,0
value1,value3,value2,value1,value4,0
value2,value4,value5,value1,value3,1
value1,value5,value1,value2,value5,1
value4,value3,value4,value3,value4,0
value5,value1,value5,value2,value2,0
value4,value4,value5,value3,value1,1
value1,value3,value5,value2,value2,0
value5,value1,value2,value2,value5,1
value3,value1,value1,value5,value5,1
value4,value5,value3,value2,value3,0
value3,value1,value1,value5,value3,1
value2,value1,value3,value2,value1,1
value2,value5,value1,value3,value1,1
value3,value1,value2,value1,value5,1
value4,value1,value5,value4,value5,0
value1,value2,value5,value1,value2,1
value2,value2,value4,value4,value3,1
value4,value3,value1,value2,value1,1
value2,value4,value3,value4,value4,1
value1,value1,value5,value3,value4,0
value1,value2,value3,value3,value2,0
value2,value4,value5,value3,value2,0
value5,value2,value2,value4,value3,0
value2,value1,value3,value1,value5,0
value5,value4,value5,value5,value4,1
value5,value4,value3,value2,value5,1
